부모님,B-KEY,이랑,O,산,B-KEY,을,O,등산,B-KEY,했,O,던,O,기억,O,이,O,있,O,어요,O,.,O,약수,B-KEY,터,O,에서,O,시원,O,한,O,물,O,한,O,사발,O,마시,O,는,O,게,O,정말,O,좋,O,았,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
런던,B-KEY,에서,O,길,O,을,O,잃,O,어버리,O,ㄴ,O,적,O,이,O,있,O,었,O,어요,O,.,O,영어,B-KEY,도,O,못,O,하,O,아서,O,난처,O,하,O,았,O,었,O,는데,O,",",O,막,O,바디,B-KEY,랭,I-KEY,귀지,I-KEY,로,O,길,O,을,O,알리,O,어,O,주,O,려고,O,노력,O,하,O,더라고요,O,.,O,참,O,고마웠,O,어요,O,.,O
발리,O,에,O,원숭이,B-KEY,숲,B-KEY,을,O,꼭,O,가,O,보,O,고,O,싶,O,었,O,어요,O,.,O,그래서,O,손주,B-KEY,들,O,이,O,랑,O,같이,O,가,O,보,O,았,O,는데,O,",",O,울창,O,한,O,숲,B-KEY,에서,O,원숭이,B-KEY,들,O,이,O,내,O,어깨,O,위,O,에,O,도,O,올라타,O,고,O,그랬,O,답니다,O,.,O,,,,
이탈리아,O,의,O,성당,B-KEY,에,O,가,O,본,O,적,O,이,O,있,O,었,O,는데,O,",",O,스테인,O,글라스,B-KEY,가,O,햇빛,B-KEY,을,O,받,O,아서,O,아름다웠,O,어요,O,.,O,다,O,들,O,조용히,O,기도,B-KEY,하,O,는,O,모습,O,이,O,인상,O,깊,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,
혼자,B-KEY,서,O,경주,O,에,O,여행,B-KEY,을,O,갔,O,었,O,는데,O,",",O,첨성대,O,앞,O,잔디밭,B-KEY,에서,O,수십,O,명,O,이,O,연,B-KEY,을,O,날리,O,는,O,광경,O,이,O,정말,O,위로,O,가,O,되,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
제주도,O,에서,O,유채꽃,B-KEY,밭,O,이,O,떠오르,O,어요,O,.,O,지평선,B-KEY,까지,O,유채꽃,B-KEY,이,O,가득,O,했,O,는데,O,",",O,내,O,옆,O,에,O,가족,O,단위,O,로,O,사람,O,들,O,이,O,행복,O,해,O,하,O,는,O,모습,O,이,O,보여서,O,더욱,O,기분,O,이,O,좋,O,았,O,어요,O,.,O,,,,,,,,
예산,B-KEY,이,O,부족해서,B-KEY,저,O,가,O,항공,O,타,O,고,O,그랬,O,던,O,거,O,떠올리,O,면,O,다,O,추억,O,이,O,지,O,싶,O,어요,O,.,O,그,O,때,O,가,O,아니,O,면,O,",",O,내,O,가,O,언제,O,또,O,환승,B-KEY,한다고,O,캐리어,B-KEY,끌,O,고,O,공항,B-KEY,을,O,뛰,O,어다니,O,겠,O,어요,O,.,O,,
그,O,여행지,B-KEY,에,O,는,O,나,O,처럼,O,몸,O,이,O,안,O,좋,O,은,O,사람,O,들,O,이,O,많,O,았,O,어요,O,.,O,그,O,사람,O,들,O,과,O,오후,O,에,O,카페,B-KEY,에서,O,커피,B-KEY,한,O,잔,O,하,O,며,O,서로,O,의,O,이야기,B-KEY,를,O,나누,O,는,O,순간,O,이,O,행복,O,했,O,답니다,O,.,O
나,O,는,O,꼭,O,손톱,B-KEY,깎이,B-KEY,를,O,가져,O,가,O,요,O,.,O,갑자기,O,손톱,B-KEY,이,O,깨지,O,거나,O,하,O,면,O,대처,O,하,O,기,O,쉽,O,답니다,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스위스,O,의,O,산,B-KEY,에서,O,스위스,O,전통,B-KEY,의상,B-KEY,을,O,입,O,고,O,춤,B-KEY,을,O,춘,O,기억,O,이,O,가장,O,기억,O,에,O,남,O,아요,O,.,O,다,O,들,O,하얗,O,ㄴ,O,옷,O,을,O,입,O,고,O,행복,O,하,O,게,O,춤,O,을,O,췄,O,답니다,O,.,O,,,,,,,,,,,,
